Titel,Datum,Phase,🏗️  Gewerk,Wetter,Anwesend,Fotos,Notizen,Mängel
Tagebuch 15.09,15. September 2026,,,Sonnig,Thomas,"20260915_221300.jpg, 20260915_221313.jpg, 20260915_221334.jpg",,No
Tagebuch 14.09,14. September 2026,,,Bewölkt,"Robert, Thomas","20260914_212620.jpg, 20260914_212636.jpg, 20260914_212656.jpg",,No
Tagebuch 12.09,12. September 2026,,,Sonnig,"Christine, Sarah, Thomas","20260912_213609.jpg, 20260912_213652.jpg, 20260912_213728.jpg",,No
Tagebuch 11.09,11. September 2026,Phase 2: Entkernung & Rückbau (https://app.notion.com/p/Phase-2-Entkernung-R-ckbau-33bcbf13353a81cf984ce9bcab7a48f4?pvs=21),,Bewölkt,"Andre, Christine, Sarah, Thomas","20260911_221103.jpg, 20260911_221113.jpg, 20260911_221203.jpg, 20260911_221235.jpg",,No
Tagebuch 10.09,10. September 2026,Phase 2: Entkernung & Rückbau (https://app.notion.com/p/Phase-2-Entkernung-R-ckbau-33bcbf13353a81cf984ce9bcab7a48f4?pvs=21),,Bewölkt,"Peter, Thomas",20260909_223745.jpg,,No
Tagebuch 09.09,9. September 2026,Phase 2: Entkernung & Rückbau (https://app.notion.com/p/Phase-2-Entkernung-R-ckbau-33bcbf13353a81cf984ce9bcab7a48f4?pvs=21),,,"Sarah, Thomas","20260909_223721.jpg, 20260909_223733.jpg, 20260909_223745%201.jpg",,No
Tagebuch 08.09,8. September 2026,,,,"Sarah, Thomas",,,No
Tagebuch 04.09,4. September 2026,,,Bewölkt,Wolfgang,,,No
Tagebuch 03.09,3. September 2026,,,,"Thomas, Wolfgang",,,No
Tagebuch 02.09,2. September 2026,,,Sonnig,"Thomas, Wolfgang",,,No
Tagebuch 01.09,1. September 2026,,,,Thomas,"20260901_145848.jpg, 20260901_145838.jpg, 20260901_150049.jpg, 20260901_163617.jpg",,No
Tagebuch 31.08,31. August 2026,,,,"Sarah, Thomas",,,No
Tagebuch 29.08,29. August 2026,Phase 2: Entkernung & Rückbau (https://app.notion.com/p/Phase-2-Entkernung-R-ckbau-33bcbf13353a81cf984ce9bcab7a48f4?pvs=21),,Sonnig,"Robert, Sabi, Sarah, Thomas",,,No
Tagebuch 28.08,28. August 2026,,,,"Sarah, Thomas","20260828_191245.jpg, 20260828_181303.jpg, 20260828_181259.jpg, 20260828_181310.jpg, 20260828_191238.jpg",,No
Tagebuch 27.08,27. August 2026,,,,Thomas,,,No
Tagebuch 26.08,26. August 2026,,,,"Handwerker, Thomas",,,No
Tagebuch 24.08,24. August 2026,,,,Wolfgang,,,No
Tagebuch 22.8,22. August 2026,,,,"Andre, Christine, Hannes, Jonas, Joni, Julia, Laura, Matze, Peter, Thomas, Tom",20260822_202715.jpg,,No
Tagebuch 20.8,20. August 2026,,,,"Handwerker, Wolfgang",,Handwerker: Franz Mario,No
